City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lensk,60.73,114.93,74.48,53,100,2.08,RU,1593607131
1,jamestown,42.1,-79.24,69.01,88,75,6.93,US,1593606990
2,omboue,-1.57,9.26,77.65,73,100,10.65,GA,1593607131
3,pyapon,16.28,95.68,80.02,84,100,11.86,MM,1593607131
4,port alfred,-33.59,26.89,80.01,28,0,5.99,ZA,1593607132
5,qaanaaq,77.48,-69.36,39.58,74,1,3.06,GL,1593607132
6,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1593607132
7,kapaa,22.08,-159.32,78.8,78,20,16.11,US,1593607132
8,lagoa,39.05,-27.98,63.5,71,8,7.78,PT,1593607132
9,punta arenas,-53.15,-70.92,23.0,92,20,4.7,CL,1593607048
10,hermanus,-34.42,19.23,64.99,79,47,4.0,ZA,1593607132
11,melfi,41.0,15.65,95.0,28,20,4.7,IT,1593607133
12,save,8.04,2.49,82.87,74,84,5.03,BJ,1593607133
13,ilulissat,69.22,-51.1,44.6,70,75,3.36,GL,1593606958
14,georgetown,5.41,100.34,80.6,94,20,8.05,MY,1593607133
15,rikitea,-23.12,-134.97,68.79,67,0,21.94,PF,1593607133
16,hilo,19.73,-155.09,73.4,88,90,8.05,US,1593607134
17,vila franca do campo,37.72,-25.43,69.8,68,40,11.41,PT,1593607134
18,narsaq,60.92,-46.05,48.2,66,40,3.36,GL,1593607134
19,barranca,-10.75,-77.77,62.2,77,98,6.2,PE,1593607134
20,barrow,71.29,-156.79,37.4,93,90,6.93,US,1593607134
21,fuxin,42.02,121.66,77.54,42,27,5.01,CN,1593607134
22,upernavik,72.79,-56.15,38.57,76,70,12.06,GL,1593607135
23,heihe,50.24,127.49,73.4,78,20,2.24,CN,1593607135
24,camacha,33.08,-16.33,71.6,83,75,11.41,PT,1593607135
25,bethel,41.37,-73.41,68.0,93,20,3.22,US,1593607135
26,mahibadhoo,3.78,72.97,84.27,67,26,3.74,MV,1593607135
27,victoria,22.29,114.16,86.0,74,100,11.99,HK,1593607135
28,esperance,-33.87,121.9,50.0,100,90,12.75,AU,1593607058
29,mavrovi anovi,41.7,20.76,86.0,40,40,3.36,MK,1593607136
30,bilma,18.69,12.92,105.08,7,0,3.98,NE,1593607136
31,saint-pierre,-21.34,55.48,75.2,64,90,8.05,RE,1593607136
32,busselton,-33.65,115.33,50.0,69,54,5.66,AU,1593607137
33,new london,41.36,-72.1,68.0,93,90,4.7,US,1593607137
34,yarada,17.65,83.27,82.4,83,40,4.7,IN,1593607137
35,ribeira grande,38.52,-28.7,73.4,60,20,14.99,PT,1593607137
36,adre,13.47,22.2,90.37,39,47,14.32,TD,1593607137
37,aranda de duero,41.67,-3.69,85.89,25,0,13.82,ES,1593607138
38,hobart,-42.88,147.33,52.0,76,90,5.82,AU,1593607030
39,castro,-24.79,-50.01,49.32,63,0,15.75,BR,1593607138
40,iquique,-20.22,-70.14,59.0,72,90,3.36,CL,1593606844
41,mahebourg,-20.41,57.7,75.2,60,40,11.41,MU,1593607138
42,hithadhoo,-0.6,73.08,84.83,64,15,4.41,MV,1593607138
43,atuona,-9.8,-139.03,79.07,74,11,22.03,PF,1593607138
44,mangit,40.6,70.96,93.2,14,20,4.7,UZ,1593607139
45,seltso,53.37,34.1,77.0,47,40,11.18,RU,1593607139
46,tukrah,32.53,20.58,83.12,52,0,11.68,LY,1593607139
47,uyemskiy,64.47,40.85,71.6,46,75,13.42,RU,1593607139
48,kadoshkino,54.03,44.42,66.38,82,76,13.42,RU,1593607139
49,henties bay,-22.12,14.28,78.01,26,0,5.01,NA,1593607140
50,los llanos de aridane,28.66,-17.92,77.0,65,75,18.34,ES,1593607140
51,hualmay,-11.1,-77.61,62.2,77,99,7.96,PE,1593607140
52,esna,25.29,32.55,100.4,12,0,10.29,EG,1593607140
53,albany,42.6,-73.97,68.0,92,71,4.59,US,1593607140
54,hohhot,40.81,111.65,71.6,49,40,4.47,CN,1593607141
55,pangnirtung,66.15,-65.71,39.2,86,20,2.24,CA,1593607141
56,ushuaia,-54.8,-68.3,26.6,86,0,6.93,AR,1593607141
57,vaini,-21.2,-175.2,71.6,73,75,6.93,TO,1593607141
58,saskylakh,71.92,114.08,69.44,69,100,7.81,RU,1593607141
59,lunsar,8.68,-12.53,86.0,76,58,0.87,SL,1593607141
60,asyut,27.18,31.18,96.8,25,0,14.99,EG,1593607142
61,sao filipe,14.9,-24.5,74.17,77,6,6.62,CV,1593607142
62,dauphin,51.15,-100.05,68.0,88,1,10.29,CA,1593607142
63,coffs harbour,-30.3,153.13,54.0,87,1,8.05,AU,1593607142
64,mount gambier,-37.83,140.77,46.4,100,75,12.75,AU,1593607132
65,lompoc,34.64,-120.46,55.4,93,6,5.82,US,1593607049
66,pemangkat,1.17,108.97,80.65,80,95,4.25,ID,1593607143
67,taoudenni,22.68,-3.98,114.89,7,0,10.54,ML,1593607143
68,shahr-e kord,32.33,50.86,89.6,8,0,9.17,IR,1593607143
69,mindelo,16.89,-24.98,80.6,57,40,18.34,CV,1593607143
70,bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1593607143
71,monywa,22.12,95.13,89.85,61,100,1.92,MM,1593607143
72,flensburg,54.78,9.43,69.8,52,63,14.99,DE,1593607144
73,butaritari,3.07,172.79,83.16,75,100,10.6,KI,1593607144
74,yellowknife,62.46,-114.35,64.4,55,75,11.41,CA,1593606901
75,bredasdorp,-34.53,20.04,69.8,60,100,5.82,ZA,1593607144
76,kutum,14.2,24.67,92.66,23,83,5.21,SD,1593607144
77,coihueco,-36.62,-71.83,48.2,100,20,12.75,CL,1593607144
78,hasaki,35.73,140.83,77.0,83,75,17.22,JP,1593607144
79,guerrero negro,27.98,-114.06,63.21,83,0,9.8,MX,1593607145
80,fortuna,40.6,-124.16,52.0,93,90,4.7,US,1593607145
81,cape town,-33.93,18.42,71.01,60,0,1.12,ZA,1593606891
82,bandarbeyla,9.49,50.81,92.89,39,100,29.82,SO,1593607145
83,saint-joseph,-21.37,55.62,75.2,64,90,8.05,RE,1593607145
84,michigan city,41.71,-86.89,71.6,88,1,5.82,US,1593607145
85,east london,-33.02,27.91,73.4,43,0,4.7,ZA,1593607146
86,kavieng,-2.57,150.8,82.6,74,100,11.01,PG,1593607146
87,sao lourenco do sul,-31.37,-51.98,53.01,93,90,14.99,BR,1593607146
88,springfield,37.22,-93.3,77.0,88,1,10.29,US,1593607146
89,klaksvik,62.23,-6.59,44.6,75,75,13.87,FO,1593607147
90,farsund,58.09,6.8,59.0,83,50,15.05,NO,1593607147
91,amarante do maranhao,-5.57,-46.74,84.27,55,0,4.16,BR,1593607147
92,airai,-8.93,125.41,54.19,93,8,2.73,TL,1593607147
93,talnakh,69.49,88.4,57.2,62,40,17.9,RU,1593607147
94,kavaratti,10.57,72.64,84.0,77,96,14.99,IN,1593607147
95,puerto ayora,-0.74,-90.35,70.0,88,69,5.01,EC,1593607148
96,katsuura,35.13,140.3,75.99,92,100,8.99,JP,1593607148
97,muros,42.78,-9.06,68.0,77,64,11.99,ES,1593607148
98,thompson,55.74,-97.86,51.8,100,90,12.75,CA,1593607148
99,chabahar,25.29,60.64,87.94,73,0,13.4,IR,1593607148
100,vestmannaeyjar,63.44,-20.27,50.0,93,75,12.75,IS,1593607148
101,charters towers,-20.1,146.27,61.21,82,5,9.4,AU,1593607148
102,shache,38.42,77.24,91.22,10,35,9.13,CN,1593607149
103,broken hill,-31.95,141.43,66.2,37,0,10.29,AU,1593607149
104,barra patuca,15.8,-84.28,78.89,85,58,2.1,HN,1593607149
105,nouadhibou,20.93,-17.03,75.2,69,0,17.22,MR,1593607149
106,corridonia,43.25,13.51,90.0,54,0,3.0,IT,1593607149
107,dhidhdhoo,6.88,73.1,83.93,75,100,8.41,MV,1593607149
108,egvekinot,66.32,-179.17,38.95,98,100,6.8,RU,1593607150
109,hamilton,39.18,-84.53,75.0,94,75,4.9,US,1593606968
110,gallup,35.53,-108.74,55.4,40,1,5.66,US,1593607150
111,carnarvon,-24.87,113.63,64.4,82,0,9.17,AU,1593607150
112,mareeba,-17.0,145.43,69.8,88,90,9.17,AU,1593607150
113,clyde river,70.47,-68.59,44.6,87,90,2.24,CA,1593607150
114,mar del plata,-38.0,-57.56,46.99,65,75,9.17,AR,1593606932
115,mamakan,57.82,114.0,70.23,67,88,2.01,RU,1593607151
116,bambous virieux,-20.34,57.76,75.99,60,40,11.41,MU,1593607151
117,kahului,20.89,-156.47,78.8,61,1,10.29,US,1593606867
118,hede,33.77,120.25,70.95,79,80,9.55,CN,1593607151
119,yar-sale,66.83,70.83,61.05,39,0,7.34,RU,1593607151
120,maralal,1.1,36.7,70.9,56,71,5.19,KE,1593607151
121,ghanzi,-21.57,21.78,73.94,22,0,10.71,BW,1593607152
122,pevek,69.7,170.31,36.16,90,90,7.16,RU,1593607152
123,quatre cocos,-20.21,57.76,75.99,60,40,11.41,MU,1593607152
124,avarua,-21.21,-159.78,77.0,88,95,11.41,CK,1593607021
125,cidreira,-30.18,-50.21,57.34,86,100,30.33,BR,1593607152
126,kaitangata,-46.28,169.85,44.01,81,92,4.0,NZ,1593607152
127,kyra,49.58,111.98,59.5,84,82,5.75,RU,1593607152
128,koroni,36.8,21.95,91.0,33,20,9.17,GR,1593607153
129,tasiilaq,65.61,-37.64,39.2,93,75,4.7,GL,1593607153
130,saldanha,-33.01,17.94,69.8,49,82,1.12,ZA,1593607153
131,olafsvik,64.89,-23.71,51.53,79,10,8.9,IS,1593607153
132,port lincoln,-34.73,135.87,53.44,67,4,21.68,AU,1593607153
133,kirkwood,38.58,-90.41,72.0,83,40,5.82,US,1593607154
134,roblin,51.23,-101.36,62.04,97,100,11.25,CA,1593607154
135,ewa beach,21.32,-158.01,78.8,78,40,10.18,US,1593606929
136,tazovskiy,67.47,78.7,52.79,66,95,3.33,RU,1593607154
137,salalah,17.02,54.09,86.0,84,90,12.75,OM,1593607144
138,norman wells,65.28,-126.83,53.6,93,75,3.36,CA,1593607154
139,acapulco,16.86,-99.89,78.8,78,75,5.82,MX,1593607155
140,gardner,42.58,-72.0,69.8,77,40,4.7,US,1593607155
141,codrington,-38.27,141.97,47.71,90,100,12.88,AU,1593607155
142,yenagoa,4.92,6.26,83.28,73,99,5.46,NG,1593607155
143,cherskiy,68.75,161.3,41.41,77,100,13.18,RU,1593607155
144,coruripe,-10.13,-36.18,79.29,65,0,5.66,BR,1593607156
145,baoro,5.67,15.97,81.93,66,65,3.13,CF,1593607156
146,ponta delgada,37.73,-25.67,69.8,68,40,11.41,PT,1593607156
147,tilichiki,60.47,166.1,40.39,71,0,7.49,RU,1593607156
148,carballo,43.21,-8.69,68.0,72,87,10.0,ES,1593607156
149,nizhniy tsasuchey,50.52,115.13,68.23,60,55,4.94,RU,1593607156
150,piacabucu,-10.41,-36.43,79.66,61,0,5.99,BR,1593607157
151,stranda,62.31,6.94,55.99,73,98,8.01,NO,1593607157
152,chokurdakh,70.63,147.92,44.31,61,0,12.15,RU,1593607157
153,tarko-sale,64.92,77.78,64.0,59,97,5.23,RU,1593607157
154,nicoya,10.15,-85.45,73.4,94,75,2.24,CR,1593607157
155,kruisfontein,-34.0,24.73,72.72,31,0,9.42,ZA,1593607157
156,prusanky,48.83,16.98,84.99,42,22,10.29,CZ,1593607158
157,provideniya,64.38,-173.3,44.15,94,100,9.1,RU,1593607158
158,port hedland,-20.32,118.57,68.0,82,0,5.82,AU,1593607158
159,coquimbo,-29.95,-71.34,53.6,76,100,5.82,CL,1593607138
160,nikolskoye,59.7,30.79,61.0,82,75,11.18,RU,1593607158
161,siocon,7.71,122.14,79.52,81,53,2.06,PH,1593607158
162,borogontsy,62.67,131.17,62.69,77,55,3.87,RU,1593607158
163,longyearbyen,78.22,15.64,48.2,45,40,8.05,SJ,1593607159
164,sao felix do xingu,-6.64,-51.99,84.69,51,0,2.28,BR,1593607159
165,chapais,49.78,-74.85,71.6,68,1,2.24,CA,1593607159
166,kitakata,37.65,139.87,75.99,88,75,5.82,JP,1593607146
167,vryburg,-26.96,24.73,68.81,26,0,8.03,ZA,1593607159
168,nyurba,63.28,118.33,73.06,58,100,5.57,RU,1593607159
169,paamiut,61.99,-49.67,39.9,91,13,5.86,GL,1593607159
170,boden,65.83,21.69,62.6,48,100,8.05,SE,1593607160
171,mataram,-8.58,116.12,77.0,88,40,6.93,ID,1593606890
172,chuy,-33.7,-53.46,53.6,79,100,18.43,UY,1593607160
173,seoul,37.57,126.98,73.4,83,1,3.53,KR,1593606937
174,gayeri,12.65,0.49,95.94,34,59,7.56,BF,1593607160
175,comodoro rivadavia,-45.87,-67.5,35.6,93,40,7.65,AR,1593607071
176,saint-philippe,-21.36,55.77,75.2,64,90,8.05,RE,1593607160
177,pangody,65.85,74.49,62.22,42,50,9.35,RU,1593607161
178,voh,-20.97,164.7,61.27,79,0,5.08,NC,1593607161
179,cseteny,47.32,17.99,87.8,48,1,9.17,HU,1593607161
180,bengkulu,-3.8,102.27,79.75,77,26,5.14,ID,1593607161
181,tadine,-21.55,167.88,65.59,62,7,10.69,NC,1593607161
182,gao,16.64,1.64,100.81,22,34,2.01,ML,1593607161
183,namibe,-15.2,12.15,79.57,38,0,10.11,AO,1593607162
184,karratha,-20.74,116.85,72.25,59,39,4.81,AU,1593607162
185,new norfolk,-42.78,147.06,52.0,87,100,1.01,AU,1593607162
186,tiksi,71.69,128.87,47.53,61,55,4.79,RU,1593607162
187,cabo san lucas,22.89,-109.91,75.0,88,5,3.36,MX,1593607092
188,ciechanow,52.88,20.62,78.01,44,13,14.99,PL,1593607162
189,arlit,18.74,7.39,107.82,6,0,5.01,NE,1593607163
190,saint-augustin,51.23,-58.65,76.71,54,60,4.81,CA,1593607163
191,cabatuan,10.88,122.49,78.4,85,68,1.92,PH,1593607163
192,abu dhabi,24.47,54.37,100.4,60,20,13.87,AE,1593606869
193,dingle,11.0,122.67,78.96,81,40,2.59,PH,1593607163
194,isangel,-19.55,169.27,67.62,64,15,9.53,VU,1593607164
195,sisimiut,66.94,-53.67,52.7,49,59,7.52,GL,1593607164
196,santa clara,22.4,-79.97,77.0,94,20,10.07,CU,1593607164
197,caorle,45.6,12.88,89.01,64,0,1.01,IT,1593607164
198,zhangye,38.93,100.45,81.12,15,0,7.96,CN,1593607144
199,kieta,-6.22,155.63,79.05,72,71,3.04,PG,1593607164
200,baruun-urt,46.68,113.28,66.0,64,34,12.44,MN,1593607164
201,port elizabeth,-33.92,25.57,78.8,29,0,11.41,ZA,1593607165
202,ginir,7.13,40.7,69.17,68,56,13.22,ET,1593607165
203,san patricio,19.22,-104.7,78.26,81,100,3.36,MX,1593607165
204,kysyl-syr,63.9,122.76,75.69,52,31,4.9,RU,1593607165
205,souillac,-20.52,57.52,75.2,60,40,11.41,MU,1593607165
206,sakakah,29.97,40.21,100.4,8,0,8.05,SA,1593607165
207,sitka,57.05,-135.33,51.8,87,90,5.82,US,1593606877
208,santa quiteria,-4.33,-40.16,83.32,60,45,6.53,BR,1593607166
209,pozo colorado,-23.49,-58.8,55.96,48,0,8.7,PY,1593607166
210,bathsheba,13.22,-59.52,86.0,74,40,12.75,BB,1593607166
