City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Khani,41.96,42.96,64.4,60.37,63,1015,8.05,8.05
Marang,5.21,103.21,75.09,82.56,94,1010,3.36,3.36
Labuhan,-6.88,112.21,81.72,87.93,78,1012,6.51,6.51
Ushuaia,-54.8,-68.3,57.2,51.21,54,998,6.93,6.93
Lebu,-37.62,-73.65,50.86,46.35,78,1024,5.66,5.66
Bluff,-46.6,168.33,57.99,49.98,84,1006,15.99,15.99
Avarua,-21.21,-159.78,71.6,75.54,88,1015,4.7,4.7
Wattegama,6.8,81.48,74.77,82.62,90,1010,1.12,1.12
Rondonópolis,-16.47,-54.64,78.46,76.53,37,1010,3.58,3.58
Limbe,4.02,9.21,77.0,87.3,100,1012,2.24,2.24
Newport,51.59,-3.0,39.99,34.84,93,1037,4.59,4.59
Rawson,-43.3,-65.1,66.58,53.17,27,1006,17.36,17.36
Tasiilaq,65.61,-37.64,32.0,20.48,79,999,12.75,12.75
Westport,41.14,-73.36,55.06,48.09,76,1030,11.41,11.41
Srednekolymsk,67.45,153.68,4.3,-13.95,92,994,21.41,21.41
Longyearbyen,78.22,15.64,33.8,21.27,80,977,14.99,14.99
Port Alfred,-33.59,26.89,67.77,65.97,88,1011,11.88,11.88
Thompson,55.74,-97.86,28.4,21.06,100,1005,5.82,5.82
New Norfolk,-42.78,147.06,53.44,49.33,51,1016,1.99,1.99
Rikitea,-23.12,-134.97,73.56,71.46,70,1019,11.74,11.74
Yellowknife,62.46,-114.35,5.0,-3.98,77,1020,4.7,4.7
Bengkulu,-3.8,102.27,76.86,82.74,82,1012,3.94,3.94
Laurel,39.1,-76.85,55.06,51.44,71,1031,4.7,4.7
Iúna,-20.35,-41.54,61.81,64.2,94,1016,1.61,1.61
Goderich,43.75,-81.72,62.6,51.21,48,1019,17.22,17.22
Mataura,-46.19,168.86,57.99,49.98,84,1006,15.99,15.99
Colorado Springs,38.83,-104.82,62.38,55.35,18,1025,3.36,3.36
Qaanaaq,77.48,-69.36,-1.52,-9.45,89,997,2.62,2.62
Cherskiy,68.75,161.3,8.26,-0.8,90,993,5.39,5.39
Atuona,-9.8,-139.03,79.02,74.86,75,1011,21.3,21.3
Viļāni,56.55,26.92,42.55,33.17,90,1023,12.66,12.66
Busselton,-33.65,115.33,57.61,54.23,69,1026,5.01,5.01
George Town,5.41,100.34,77.63,85.78,94,1010,4.7,4.7
Hasaki,35.73,140.83,52.45,47.62,71,1024,5.82,5.82
Vila Velha,-20.33,-40.29,73.36,78.06,83,1015,3.36,3.36
Bredasdorp,-34.53,20.04,66.2,63.25,82,1011,11.41,11.41
