City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,songjianghe,42.1859,127.479,28.54,97,100,3.56,CN,1611625257
1,ushuaia,-54.8,-68.3,46.4,61,75,21.85,AR,1611624933
2,hithadhoo,-0.6,73.0833,80.8,74,100,3.62,MV,1611624923
3,barrow,71.2906,-156.7887,-5.8,84,40,12.66,US,1611624920
4,narsaq,60.9167,-46.05,24.8,26,54,27.63,GL,1611624750
5,avarua,-21.2078,-159.775,86.0,70,40,12.66,CK,1611624921
6,hobart,-42.8794,147.3294,71.6,40,75,14.97,AU,1611624825
7,guerrero negro,27.9769,-114.0611,57.79,58,24,19.77,MX,1611624929
8,gondar,12.6,37.4667,55.98,53,0,5.21,ET,1611625259
9,faanui,-16.4833,-151.75,81.21,76,100,18.03,PF,1611624969
10,yellowknife,62.456,-114.3525,-20.0,69,75,10.36,CA,1611624714
11,mananjary,-21.2167,48.3333,74.98,87,8,5.59,MG,1611625260
12,punta arenas,-53.15,-70.9167,44.6,57,0,24.16,CL,1611624788
13,kapustin yar,48.5831,45.7372,30.13,95,95,13.15,RU,1611625260
14,padang,-0.9492,100.3543,77.0,88,75,3.44,ID,1611624947
15,thompson,55.7435,-97.8558,-13.0,77,40,3.44,CA,1611624758
16,bredasdorp,-34.5322,20.0403,62.6,94,46,4.61,ZA,1611624852
17,arraial do cabo,-22.9661,-42.0278,75.96,85,7,22.97,BR,1611624753
18,kirksville,40.1948,-92.5833,30.99,93,90,11.5,US,1611625261
19,ostrovnoy,68.0531,39.5131,15.4,95,100,14.05,RU,1611625001
20,presidencia roque saenz pena,-26.7852,-60.4388,80.01,84,28,5.99,AR,1611625007
21,vila franca do campo,37.7167,-25.4333,63.0,94,75,13.8,PT,1611624971
22,tasiilaq,65.6145,-37.6368,8.6,52,94,14.97,GL,1611624747
23,mandalgovi,45.7625,106.2708,-2.97,82,36,4.94,MN,1611625089
24,bethel,41.3712,-73.414,28.4,50,1,3.8,US,1611624943
25,pisco,-13.7,-76.2167,69.8,78,0,19.57,PE,1611624769
26,puerto boyaca,5.9758,-74.5885,76.39,87,99,0.94,CO,1611625262
27,hasaki,35.7333,140.8333,48.2,76,75,9.22,JP,1611624933
28,geraldton,-28.7667,114.6,73.02,61,57,15.39,AU,1611624936
29,cabedelo,-6.9811,-34.8339,77.0,83,0,6.91,BR,1611625262
30,sao joao da barra,-21.6403,-41.0511,76.57,87,0,14.56,BR,1611624840
31,havoysund,70.9963,24.6622,19.4,79,90,12.66,NO,1611624989
32,ormara,25.2088,64.6357,64.22,28,0,6.73,PK,1611625263
33,dingle,10.9995,122.6711,79.7,76,100,11.63,PH,1611624761
34,pangnirtung,66.1451,-65.7125,9.14,78,0,3.65,CA,1611624926
35,coahuayana,18.7333,-103.6833,75.2,73,40,1.45,MX,1611624988
36,isangel,-19.55,169.2667,86.0,74,75,6.91,VU,1611624962
37,lata,40.1629,-8.3327,59.0,95,100,1.01,PT,1611624784
38,gander,48.9682,-54.5906,28.4,93,90,9.22,CA,1611625264
39,salalah,17.0151,54.0924,69.8,37,0,9.22,OM,1611624936
40,vila velha,-20.3297,-40.2925,78.8,78,20,6.91,BR,1611624960
41,bambous virieux,-20.3428,57.7575,75.0,88,20,5.75,MU,1611624965
42,hilo,19.7297,-155.09,77.0,73,90,11.5,US,1611624743
43,georgetown,5.4112,100.3354,78.8,78,20,3.44,MY,1611624849
44,hami,42.8,93.45,18.0,77,100,0.54,CN,1611624823
45,evensk,61.95,159.2333,5.29,85,100,13.11,RU,1611625265
46,harper,4.375,-7.7169,77.67,86,0,5.97,LR,1611624790
47,bluff,-46.6,168.3333,82.99,44,100,21.0,NZ,1611624931
48,bois-guillaume,49.4602,1.1222,34.0,100,20,6.91,FR,1611625265
49,chokurdakh,70.6333,147.9167,-41.8,78,27,3.18,RU,1611624991
50,kununurra,-15.7667,128.7333,80.6,100,100,3.44,AU,1611624985
51,puerto ayora,-0.7393,-90.3518,77.0,94,58,5.01,EC,1611624754
52,souillac,-20.5167,57.5167,71.6,88,20,5.75,MU,1611624972
53,albany,42.6001,-73.9662,25.0,61,100,1.43,US,1611624925
54,rikitea,-23.1203,-134.9692,79.83,70,1,12.73,PF,1611624932
55,san jose,37.3394,-121.895,48.2,57,20,20.71,US,1611624900
56,mangrol,21.1167,70.1167,60.12,36,0,11.72,IN,1611625008
57,upernavik,72.7868,-56.1549,5.02,82,0,5.82,GL,1611624985
58,shujaabad,29.8797,71.2931,44.6,81,0,0.51,PK,1611625266
59,champerico,14.3,-91.9167,84.2,70,20,9.22,GT,1611625024
60,aquidauana,-20.4711,-55.7872,74.79,92,100,5.73,BR,1611625267
61,koulamoutou,-1.1303,12.4736,71.35,93,93,2.19,GA,1611625267
62,hermanus,-34.4187,19.2345,60.01,91,18,6.46,ZA,1611624920
63,vaini,-21.2,-175.2,82.4,89,75,9.22,TO,1611624736
64,qaanaaq,77.484,-69.3632,6.24,63,0,7.31,GL,1611624952
65,plast,54.3691,60.8136,19.85,96,0,8.32,RU,1611625267
66,romanovka,51.7443,42.7527,33.67,93,100,13.94,RU,1611625268
67,port alfred,-33.5906,26.891,63.0,92,0,11.5,ZA,1611624938
68,tiksi,71.6872,128.8694,-38.79,80,99,5.79,RU,1611624956
69,namibe,-15.1961,12.1522,75.02,76,77,3.67,AO,1611624965
70,krasnoselkup,65.7,82.4667,-34.08,81,100,13.0,RU,1611624966
71,kaitangata,-46.2817,169.8464,78.37,41,100,15.93,NZ,1611624993
72,henties bay,-22.116,14.2845,69.01,89,100,6.51,NA,1611624920
73,kavaratti,10.5669,72.642,81.12,70,17,10.07,IN,1611624944
74,vorozhba,51.1733,34.2192,37.18,87,100,21.97,UA,1611625269
75,longhua,23.6137,114.1919,72.3,49,1,3.87,CN,1611625269
76,butaritari,3.0707,172.7902,79.92,76,99,6.85,KI,1611624922
77,kavieng,-2.5744,150.7967,84.22,70,61,5.7,PG,1611624759
78,caconda,-13.7333,15.0667,62.06,55,94,3.8,AO,1611625008
79,mount isa,-20.7333,139.5,95.0,31,75,6.91,AU,1611624947
80,mataura,-46.1927,168.8643,82.99,44,100,21.0,NZ,1611624920
81,ojinaga,29.5667,-104.4167,59.0,29,1,5.75,MX,1611625070
82,the valley,18.217,-63.0578,77.0,78,40,9.22,AI,1611625270
83,saskylakh,71.9167,114.0833,-32.04,82,47,4.12,RU,1611624750
84,kungalv,57.871,11.9805,28.99,91,100,4.79,SE,1611625271
85,inuvik,68.3499,-133.7218,-7.6,77,99,3.44,CA,1611624968
86,sola,-13.8833,167.55,84.2,79,90,1.14,VU,1611624949
87,wakefield,53.6809,-1.499,35.01,87,75,7.34,GB,1611625122
88,nyakabindi,-2.6333,33.9833,63.99,91,100,4.63,TZ,1611625214
89,aksarka,66.5606,67.7975,-16.22,88,100,7.29,RU,1611624999
90,leningradskiy,69.3833,178.4167,-15.75,86,100,17.05,RU,1611624941
91,atuona,-9.8,-139.0333,78.55,77,21,18.32,PF,1611624924
92,ballina,-28.8667,153.5667,86.0,61,0,16.11,AU,1611625024
93,busselton,-33.65,115.3333,75.0,51,21,3.67,AU,1611624798
94,piacabucu,-10.4056,-36.4344,76.91,83,100,9.48,BR,1611625061
95,husavik,66.0449,-17.3389,23.0,86,90,5.75,IS,1611625013
96,khatanga,71.9667,102.5,-19.37,88,100,8.16,RU,1611624738
97,meridian,43.6121,-116.3915,33.8,93,100,3.44,US,1611625273
98,gornopravdinsk,60.05,69.9,-8.3,90,100,7.74,RU,1611625273
99,klaksvik,62.2266,-6.589,28.4,80,75,10.36,FO,1611624989
100,isetskoye,56.4858,65.3226,24.94,97,100,12.95,RU,1611625273
101,jamestown,42.097,-79.2353,30.2,59,75,6.91,US,1611624932
102,atambua,-9.1061,124.8925,78.62,79,95,5.1,ID,1611625005
103,ilulissat,69.2167,-51.1,6.8,56,0,10.36,GL,1611624767
104,ponta do sol,32.6667,-17.1,59.0,74,3,1.99,PT,1611624964
105,constitucion,-35.3333,-72.4167,56.73,71,0,13.67,CL,1611624956
106,kapaa,22.0752,-159.319,75.99,88,75,20.71,US,1611624924
107,kahului,20.8947,-156.47,78.8,65,40,17.27,US,1611624796
108,east london,-33.0153,27.9116,68.77,78,0,12.33,ZA,1611624930
109,praya,14.9215,-23.5087,69.8,64,0,8.05,CV,1611624995
110,smithers,54.7804,-127.1743,21.2,86,90,0.94,CA,1611624837
111,nalut,30.3333,10.85,54.77,41,76,7.05,LY,1611625274
112,olafsvik,64.8945,-23.7142,27.37,92,100,27.98,IS,1611624981
113,montlucon,46.3333,2.6,26.01,95,22,1.01,FR,1611625275
114,lazaro cardenas,17.9583,-102.2,73.47,85,8,3.94,MX,1611624824
115,iqaluit,63.7506,-68.5145,0.0,85,1,4.61,CA,1611624941
116,buckeye,33.3703,-112.5838,50.0,61,98,9.22,US,1611625001
117,chuy,-33.6971,-53.4616,72.25,87,0,7.36,UY,1611624739
118,grindavik,63.8424,-22.4338,28.4,54,90,27.63,IS,1611624757
119,mercedes,-34.6515,-59.4307,84.0,75,63,1.01,AR,1611625120
120,sitka,57.0531,-135.33,35.6,75,20,3.44,US,1611624747
121,karakol,42.4907,78.3936,16.3,77,0,5.14,KG,1611625276
122,kudymkar,59.0173,54.656,29.48,98,100,8.93,RU,1611625276
123,mahebourg,-20.4081,57.7,71.6,88,20,5.75,MU,1611624973
124,nyrob,60.733,56.7202,35.13,96,100,9.22,RU,1611625276
125,meulaboh,4.1363,96.1285,80.55,74,40,5.14,ID,1611624974
126,airai,-8.9266,125.4092,69.73,86,91,4.79,TL,1611624935
127,vardo,70.3705,31.1107,28.09,97,100,25.75,NO,1611624929
128,carnarvon,-24.8667,113.6333,77.0,57,40,23.02,AU,1611624951
129,zhitnevo,55.3423,37.9146,32.0,93,90,13.42,RU,1611625277
130,bathsheba,13.2167,-59.5167,78.8,69,20,16.11,BB,1611624928
131,nikolskoye,59.7035,30.7861,37.0,93,90,8.95,RU,1611624924
132,dobryanka,58.4619,56.4165,30.2,100,75,17.9,RU,1611625277
133,casalmaggiore,44.9939,10.4189,36.0,65,1,12.08,IT,1611625277
134,vao,-22.6667,167.4833,76.64,78,97,22.66,NC,1611624962
135,mtwara,-10.2667,40.1833,75.2,88,20,8.05,TZ,1611625278
136,cabo san lucas,22.8909,-109.9124,64.4,63,40,13.8,MX,1611624948
137,ulladulla,-35.35,150.4667,97.0,23,96,17.27,AU,1611624832
138,adrar,20.5022,-10.0711,65.23,22,0,8.95,MR,1611624767
139,sokoni,-6.4333,39.55,78.8,83,20,6.11,TZ,1611625278
140,ribeira grande,38.5167,-28.7,63.23,88,100,22.91,PT,1611624961
