Year,Country,Life_Expectancy,Region,Income_Group,Alcohol,BMI,HIV_AIDS,Measles,Schooling,Healthcare_Expenditure
2015,Afghanistan,65,South Asia,Low income,0.01,19.1,0.1,1154,10.1,71.27962362
2014,Afghanistan,59.9,South Asia,Low income,0.01,18.6,0.1,492,10,73.52358168
2013,Afghanistan,59.9,South Asia,Low income,0.01,18.1,0.1,430,9.9,73.21924272
2012,Afghanistan,59.5,South Asia,Low income,0.01,17.6,0.1,2787,9.8,78.1842153
2011,Afghanistan,59.2,South Asia,Low income,0.01,17.2,0.1,3013,9.5,7.097108703
2010,Afghanistan,58.8,South Asia,Low income,0.01,16.7,0.1,1989,9.2,79.67936736
2009,Afghanistan,58.6,South Asia,Low income,0.01,16.2,0.1,2861,8.9,56.76221682
2008,Afghanistan,58.1,South Asia,Low income,0.03,15.7,0.1,1599,8.7,25.87392536
2007,Afghanistan,57.5,South Asia,Low income,0.02,15.2,0.1,1141,8.4,10.91015598
2006,Afghanistan,57.3,South Asia,Low income,0.03,14.7,0.1,1990,8.1,17.17151751
2005,Afghanistan,57.3,South Asia,Low income,0.02,14.2,0.1,1296,7.9,1.388647732
2004,Afghanistan,57,South Asia,Low income,0.02,13.8,0.1,466,6.8,15.29606643
2003,Afghanistan,56.7,South Asia,Low income,0.01,13.4,0.1,798,6.5,11.08905273
2002,Afghanistan,56.2,South Asia,Low income,0.01,13,0.1,2486,6.2,16.88735091
2001,Afghanistan,55.3,South Asia,Low income,0.01,12.6,0.1,8762,5.9,10.5747282
2000,Afghanistan,54.8,South Asia,Low income,0.01,12.2,0.1,6532,5.5,10.42496
2014,Albania,77.5,Europe & Central Asia,Upper middle income,4.51,57.2,0.1,0,14.2,428.7490668
2015,Albania,77.8,Europe & Central Asia,Upper middle income,4.6,58,0.1,0,14.2,364.9752287
2013,Albania,77.2,Europe & Central Asia,Upper middle income,4.76,56.5,0.1,0,14.2,430.8769785
2012,Albania,76.9,Europe & Central Asia,Upper middle income,5.14,55.8,0.1,9,14.2,412.4433563
2011,Albania,76.6,Europe & Central Asia,Upper middle income,5.37,55.1,0.1,28,13.3,437.0621
2010,Albania,76.2,Europe & Central Asia,Upper middle income,5.28,54.3,0.1,10,12.5,41.82275719
2009,Albania,76.1,Europe & Central Asia,Upper middle income,5.79,53.5,0.1,0,12.2,348.0559517
2008,Albania,75.3,Europe & Central Asia,Upper middle income,5.61,52.6,0.1,0,12,36.62206845
2007,Albania,75.9,Europe & Central Asia,Upper middle income,5.58,51.7,0.1,22,11.6,32.24655228
2006,Albania,74.2,Europe & Central Asia,Upper middle income,5.31,5.8,0.1,68,11.4,3.3021542
2004,Albania,73,Europe & Central Asia,Upper middle income,4.54,48.9,0.1,7,10.9,221.8428
2005,Albania,73.5,Europe & Central Asia,Upper middle income,5.16,49.9,0.1,6,10.8,26.99312143
2000,Albania,72.6,Europe & Central Asia,Upper middle income,3.66,45,0.1,662,10.7,91.71154052
2002,Albania,73.3,Europe & Central Asia,Upper middle income,3.73,46.9,0.1,16,10.7,104.5169157
2003,Albania,72.8,Europe & Central Asia,Upper middle income,4.29,47.9,0.1,8,10.7,14.71928882
2001,Albania,73.6,Europe & Central Asia,Upper middle income,4.25,46,0.1,18,10.6,96.20557078
2014,Algeria,75.4,Middle East & North Africa,Lower middle income,0.01,58.4,0.1,0,14.4,54.2373183
2013,Algeria,75.3,Middle East & North Africa,Lower middle income,0.53,57.2,0.1,25,14.4,544.4507432
2012,Algeria,75.1,Middle East & North Africa,Lower middle income,0.66,56.1,0.1,18,14.4,555.9260834
2011,Algeria,74.9,Middle East & North Africa,Lower middle income,0.56,55,0.1,112,14,509.0020405
2010,Algeria,74.7,Middle East & North Africa,Lower middle income,0.45,53.9,0.1,103,13.6,430.7175861
2009,Algeria,74.4,Middle East & North Africa,Lower middle income,0.5,52.8,0.1,107,13.1,352.0636419
2008,Algeria,74.1,Middle East & North Africa,Lower middle income,0.46,51.8,0.1,217,12.6,43.08717334
2006,Algeria,73.4,Middle East & North Africa,Lower middle income,0.36,49.8,0.1,944,12.3,270.2401962
2007,Algeria,73.8,Middle East & North Africa,Lower middle income,0.44,5.8,0.1,0,12.3,320.3239241
2005,Algeria,72.9,Middle East & North Africa,Lower middle income,0.5,48.9,0.1,2302,12,2.548922758
2004,Algeria,72.3,Middle East & North Africa,Lower middle income,0.45,47.9,0.1,3289,11.7,220.393699
2003,Algeria,71.7,Middle East & North Africa,Lower middle income,0.34,47,0.1,15374,11.5,25.0185226
